trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.42473702018071,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.96}",25,0,-67.57436747583813,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9216}",35,0,-119.04917207228611,"{0: 23, 1: 2, 2: 9, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8847359999999999}",30,0,-190.36582383276354,"{0: 20, 1: 3, 2: 2, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.8493465599999999}",25,0,-130.3018119332118,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.8153726975999999}",25,6,-47.95983802743495,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.7827577896959999}",25,0,-143.01729872358138,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.7514474781081598}",30,0,-73.90278972663624,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.7213895789838334}",20,14,-50.17127586424,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.69253399582448}",30,1,-100.33694592869138,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.6648326359915008}",20,16,6.768644109798148,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.6382393305518408}",20,0,-24.548923300073067,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.6127097573297671}",20,15,0.6336837366817945,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.5882013670365764}",20,0,-71.80124465334217,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.5646733123551133}",20,0,-5.30018883815152,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.5420863798609088}",20,10,8.5434220620411,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
