trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.5, 'e': 0.03816793317353623}",20,7,22.699076892971053,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.03664121584659478}",20,12,4.787172640428693,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.03517556721273098}",30,16,26.583581919861963,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.03376854452422175}",20,14,11.01119713762141,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.03241780274325288}",20,0,22.73180997050669,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.03112109063352276}",20,3,27.2007738706208,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.029876247008181846}",20,9,22.072848086761116,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.028681197127854573}",25,15,11.494339401893104,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.02753394924274039}",20,10,17.641906479982836,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.026432591273030773}",25,11,25.606902497022787,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.02537528762210954}",30,10,24.41789689925118,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.024360276117225157}",20,13,14.254213096056564,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.02338586507253615}",35,21,24.695211834218558,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.022450430469634703}",30,0,39.29249367037062,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.021552413250849316}",25,8,32.89260110282994,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.02069031672081534}",25,13,23.172898886404106,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.019862704051982726}",25,8,32.009446558701036,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.019068195889903418}",20,10,20.60136573229622,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.01830546805430728}",30,13,25.174531728098987,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.01757324933213499}",20,3,27.009464093935556,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.016870319358849587}",25,8,9.352407257226437,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.016195506584495603}",35,21,7.895752785455532,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.01554768632111578}",25,20,11.658277591528694,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.014925778868271147}",30,12,34.81330270545805,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.0143287477135403}",30,19,23.090026162012865,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.013755597804998689}",20,8,21.732178518490542,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.01320537389279874}",20,9,21.946111165069027,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.01267715893708679}",25,13,21.90406189700899,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.012170072579603317}",20,8,25.25335530009256,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.011683269676419184}",30,17,0.23375231353185733,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
